ID,Uid,age,sex,labor,repic_sid,best_weight,last_weight
251,252,27,男,中,961:870:680:460:691:824:185:194:684:916:94:113:97:198:112:553:837:459:95:919:662:653:16,74.0:294.0:9.0:183.0:9.0:47.0:119.0:163.0:111.0:126.0:49.0:34.0:147.0:216.0:39.0:79.0:9.0:87.0:9.0:9.0:9.0:9.0:151.0,40.0:300.0:9.0:10.0:9.0:9.0:31.0:151.0:36.0:40.0:9.0:9.0:9.0:318.0:9.0:329.0:9.0:11.0:82.0:9.0:9.0:9.0:150.0
252,253,25,女,轻,887:870:913:892:915:908:622:115:112:114:477:487:813:814:769:948:104:265:185:292:54,13.0:255.0:9.0:33.0:35.0:9.0:9.0:9.0:9.0:9.0:11.0:295.0:9.0:76.0:9.0:61.0:100.0:129.0:227.0:54.0:149.0,31.0:244.0:10.0:23.0:10.0:30.0:9.0:9.0:9.0:9.0:76.0:213.0:10.0:35.0:10.0:41.0:100.0:268.0:10.0:222.0:149.0
253,254,19,男,轻,935:815:912:1:478:463:521:854:938:1045:809:631:203:670:891:882:154:101:100,45.0:41.0:62.0:149.0:72.0:10.0:172.0:10.0:19.0:10.0:10.0:10.0:351.0:13.0:91.0:209.0:25.0:17.0:84.0,10.0:10.0:50.0:148.0:77.0:10.0:257.0:45.0:10.0:55.0:10.0:25.0:300.0:10.0:33.0:266.0:10.0:90.0:10.0
254,255,35,男,轻,1:667:193:880:870:908:252:670:987:929:633:487:582:557:105:100:116:850:818,150.0:12.0:212.0:129.0:171.0:40.0:162.0:10.0:40.0:10.0:10.0:98.0:100.0:151.0:35.0:66.0:17.0:10.0:32.0,150.0:12.0:212.0:122.0:178.0:40.0:162.0:10.0:40.0:10.0:10.0:98.0:100.0:151.0:34.0:65.0:17.0:10.0:32.0
255,256,33,女,重,620:492:668:847:868:669:20:43:452:667:967:106:109:228:297:276:119:914:875,10.0:178.0:92.0:9.0:9.0:9.0:92.0:61.0:100.0:9.0:69.0:70.0:31.0:61.0:131.0:307.0:20.0:39.0:299.0,25.0:341.0:19.0:10.0:26.0:10.0:31.0:118.0:10.0:10.0:40.0:90.0:10.0:11.0:329.0:71.0:10.0:39.0:300.0
256,257,23,女,轻,116:21:74:113:908:112:869:918:812:809:919:558:559:444:691:698:680:634:105:99:226:191:287:881:1066,9.0:69.0:83.0:9.0:30.0:9.0:10.0:10.0:22.0:10.0:10.0:146.0:77.0:92.0:10.0:13.0:10.0:9.0:56.0:46.0:17.0:118.0:263.0:299.0:40.0,9.0:70.0:80.0:9.0:30.0:9.0:10.0:10.0:22.0:10.0:10.0:146.0:77.0:92.0:10.0:13.0:10.0:9.0:77.0:23.0:17.0:118.0:263.0:299.0:40.0
257,258,25,女,轻,870:622:868:48:692:311:909:908:9:871:1043:300:928:102:904:63:961:803:94:95:960:146:474:600,96.0:10.0:10.0:104.0:21.0:272.0:10.0:20.0:24.0:147.0:13.0:99.0:10.0:81.0:57.0:24.0:13.0:10.0:11.0:11.0:14.0:15.0:233.0:43.0,115.0:10.0:11.0:87.0:11.0:303.0:10.0:10.0:47.0:130.0:23.0:133.0:25.0:80.0:54.0:16.0:10.0:19.0:10.0:10.0:10.0:23.0:10.0:340.0
258,259,21,女,中,927:94:114:700:883:738:178:845:276:869:112:189:908:919:820:53:28:929:492:621,9.0:100.0:17.0:49.0:300.0:9.0:48.0:9.0:241.0:9.0:16.0:178.0:101.0:84.0:9.0:85.0:65.0:73.0:310.0:9.0,30.0:100.0:9.0:35.0:301.0:10.0:9.0:10.0:135.0:10.0:9.0:278.0:10.0:10.0:10.0:10.0:139.0:40.0:350.0:9.0
259,260,40,女,重,890:192:98:94:112:536:459:16:662:1:872:680:625:190:2:719:820:738:623:944:938:920,238.0:102.0:62.0:40.0:9.0:340.0:9.0:12.0:9.0:12.0:63.0:10.0:9.0:266.0:127.0:10.0:23.0:10.0:9.0:21.0:19.0:40.0,237.0:102.0:62.0:40.0:9.0:341.0:10.0:12.0:9.0:12.0:63.0:10.0:9.0:266.0:127.0:10.0:23.0:10.0:9.0:21.0:19.0:40.0
260,261,26,男,轻,667:103:97:621:461:960:663:942:668:467:620:1031:684:492:192:276:917:123:131:115:809:823:871:889:29,10.0:91.0:11.0:9.0:10.0:10.0:9.0:36.0:10.0:10.0:9.0:28.0:10.0:330.0:226.0:159.0:40.0:9.0:9.0:9.0:35.0:10.0:125.0:176.0:150.0,10.0:90.0:10.0:9.0:9.0:10.0:9.0:36.0:10.0:9.0:9.0:28.0:10.0:330.0:226.0:159.0:39.0:9.0:9.0:9.0:35.0:10.0:125.0:175.0:150.0
